mu 1943 0.011242911700034719
fu 1934 0.011190834394167341
go 1903 0.011011457007290823
rn 1880 0.010878370558963082
lt 1876 0.010855225089688694
pp 1870 0.010820506885777108
ua 1862 0.01077421594722833
ob 1862 0.01077421594722833
we 1857 0.010745284110635344
fa 1843 0.010664274968174979
ui 1841 0.010652702233537785
mm 1793 0.01037495660224511
wi 1784 0.010322879296377733
gs 1776 0.010276588357828955
ei 1766 0.010218724684642981
eo 1765 0.010212938317324383
sl 1763 0.010201365582687189
oa 1723 0.009969910889943293
pu 1695 0.009807892605022567
nn 1695 0.009807892605022567
pt 1694 0.009802106237703969
ff 1661 0.009611156116190256
gu 1660 0.009605369748871658
ev 1656 0.00958222427959727
av 1652 0.009559078810322879
ue 1651 0.009553292443004282
wo 1637 0.00947228330054392
du 1634 0.009454924198588127
sn 1633 0.009449137831269529
tl 1630 0.009431778729313736
ks 1612 0.009327624117578984
gh 1560 0.00902673301701192
ys 1516 0.008772132854993635
rg 1498 0.008667978243258882
rb 1463 0.008465455387107974
nu 1439 0.008326582571461636
ud 1411 0.00816456428654091
rp 1408 0.008147205184585117
dl 1393 0.008060409674806156
hr 1393 0.008060409674806156
ay 1372 0.007938895961115612
fr 1347 0.007794236778150677
za 1343 0.007771091308876287
zi 1329 0.0076900821664159244
nf 1319 0.0076322184932299504
yp 1291 0.007470200208309224
eb 1275 0.007377618331211666
ak 1270 0.007348686494618679
eu 1265 0.007319754658025692
ew 1257 0.007273463719476912
gg 1249 0.007227172780928133
sy 1221 0.007065154496007407
nk 1203 0.006960999884272653
ug 1195 0.0069147089457238745
rl 1179 0.006822127068626316
vo 1178 0.006816340701307719
gn 1165 0.006741117926165953
hu 1152 0.006665895151024187
ht 1141 0.006602245110519616
oe 1140 0.0065964587432010184
cy 1127 0.006521235968059253
ld 1123 0.006498090498784863
rk 1117 0.006463372294873279
yl 1113 0.006440226825598889
aw 1071 0.006197199398217799
tc 1011 0.0058500173591019555
af 1001 0.0057921536859159815
dd 968 0.005601203564402268
cc 963 0.005572271727809282
of 959 0.005549126258534892
bb 954 0.005520194421941905
sk 946 0.0054739034833931255
ok 940 0.005439185279481541
xi 917 0.005306098831153802
ym 905 0.005236662423330633
ae 903 0.005225089688693439
ey 891 0.005155653280870269
ka 887 0.0051325078115958805
bs 876 0.005068857771091309
ye 867 0.0050167804652239325
ik 867 0.0050167804652239325
yc 863 0.004993634995949543
ox 841 0.0048663349149404
yt 806 0.004663812058789492
hs 785 0.004542298345098947
nv 780 0.00451336650850596
yi 773 0.0044728619372757785
cs 771 0.004461289202638583
rv 769 0.004449716468001389
sw 760 0.004397639162134012
wh 758 0.0043860664274968176
my 737 0.004264552713806272
yn 724 0.004189329938664507
rf 709 0.004102534428885546
az 705 0.004079388959611156
ya 701 0.004056243490336766
xe 686 0.003969447980557806
iu 679 0.003928943409327624
ft 672 0.0038884388380974423
gy 654 0.0037842842263626896
ju 645 0.003732206920495313
hl 629 0.003639625043397755
eh 628 0.0036338386760791574
dn 627 0.00362805230876056
yr 626 0.0036222659414419625
zo 625 0.0036164795741233653
dy 619 0.003581761370211781
wn 608 0.00351811132970721
kl 608 0.00351811132970721
yo 602 0.0034833931257956256
nl 593 0.003431315819928249
ja 589 0.0034081703506538595
ny 587 0.0033965976160166647
rh 584 0.0033792385140608725
dg 574 0.0033213748408748986
xt 563 0.0032577248003703273
ws 562 0.00325193843305173
py 561 0.003246152065733133
